ID,Name,Industry,Inception,Employees,State,City,Revenue,Expenses,Profit,Growth
1,Over-Hex,Software,2006,25,TN,Franklin,"$9,684,527","1,130,700 Dollars",8553827,19%
2,Unimattax,IT Services,2009,36,PA,Newtown Square,"$14,016,543","804,035 Dollars",13212508,20%
3,Greenfax,Retail,2012,,SC,Greenville,"$9,746,272","1,044,375 Dollars",8701897,16%
4,Blacklane,IT Services,2011,66,CA,Orange,"$15,359,369","4,631,808 Dollars",10727561,19%
5,Yearflex,Software,2013,45,WI,Madison,"$8,567,910","4,374,841 Dollars",4193069,19%
6,Indigoplanet,IT Services,2013,60,NJ,Manalapan,"$12,805,452","4,626,275 Dollars",8179177,22%
7,Treslam,Financial Services,2009,116,MO,Clayton,"$5,387,469","2,127,984 Dollars",3259485,17%
8,Rednimdox,Construction,2013,73,NY,Woodside,,,,
9,Lamtone,IT Services,2009,55,CA,San Ramon,"$11,757,018","6,482,465 Dollars",5274553,30%
10,Stripfind,Financial Services,2010,25,FL,Boca Raton,"$12,329,371","916,455 Dollars",11412916,20%
11,Canecorporation,Health,2012,6,,New York,"$10,597,009","7,591,189 Dollars",3005820,7%
12,Mattouch,IT Services,2013,6,WA,Bellevue,"$14,026,934","7,429,377 Dollars",6597557,26%
13,Techdrill,Health,2009,9,MS,Flowood,"$10,573,990","7,435,363 Dollars",3138627,8%
14,Techline,,2006,65,CA,San Ramon,"$13,898,119","5,470,303 Dollars",8427816,23%
15,Cityace,,2010,25,CO,Louisville,"$9,254,614","6,249,498 Dollars",3005116,6%
16,Kayelectronics,Health,2009,687,NC,Clayton,"$9,451,943","3,878,113 Dollars",5573830,4%
17,Ganzlax,IT Services,2011,75,NJ,Iselin,"$14,001,180",,11901180,18%
18,Trantraxlax,Government Services,2011,35,VA,Suffolk,"$11,088,336","5,635,276 Dollars",5453060,7%
19,E-Zim,Retail,2008,320,OH,Monroe,"$10,746,451","4,762,319 Dollars",5984132,13%
20,Daltfase,Software,2011,78,NC,Durham,"$10,410,628","6,196,409 Dollars",4214219,17%
21,Hotlane,Government Services,2012,87,AL,Huntsville,"$7,978,332","5,686,574 Dollars",2291758,2%
22,Lathotline,Health,,103,VA,McLean,"$9,418,303","7,567,233 Dollars",1851070,2%
23,Lambam,IT Services,2012,210,SC,Columbia,"$11,950,148","4,365,512 Dollars",7584636,20%
24,Quozap,Software,2004,21,NJ,Collingswood,"$8,304,480","7,019,973 Dollars",1284507,20%
25,Tampware,Construction,2011,13,TX,Houston,"$9,785,982","2,910,756 Dollars",6875226,11%
26,Dalthow,Health,2000,20,GA,Dacula,"$10,800,718","7,731,820 Dollars",3068898,7%
27,Ranktech,Government Services,2010,607,FL,Tampa,"$10,515,557","7,439,384 Dollars",3076173,8%
28,Unadex,Software,2013,280,NC,Cary,"$5,231,275","2,388,521 Dollars",2842754,19%
29,Groovecane,Construction,2011,17,UT,South Jordan,"$6,811,168","3,560,343 Dollars",3250825,15%
30,Tambase,Software,2010,29,AZ,Scottsdale,"$9,141,817","2,394,135 Dollars",6747682,21%
31,Georedfase,IT Services,2008,19,VA,Vienna,"$13,165,222","810,126 Dollars",12355096,16%
32,Konktraxbam,Software,2011,3,WI,Franklin,"$11,504,780","4,682,545 Dollars",6822235,19%
33,Stanquote,IT Services,2011,133,IL,Des Plaines,"$15,421,180","374,816 Dollars",15046364,26%
34,Lexiholding,Health,2011,10,CA,Newport Beach,"$6,595,798","4,917,351 Dollars",1678447,7%
35,Mediahex,IT Services,2005,29,TX,Houston,"$14,772,570","3,685,640 Dollars",11086930,19%
36,Triojob,Financial Services,2011,33,TX,Dallas,"$9,403,633","223,602 Dollars",9180031,18%
37,D-Zoocare,Financial Services,2010,98,WA,Seattle,"$9,153,440","2,445,885 Dollars",6707555,13%
38,Zun-Trax,Retail,2013,23,SC,Columbia,"$9,732,190","4,437,655 Dollars",5294535,12%
39,Biotain,Construction,2012,62,IA,Davenport,"$11,642,543","4,781,280 Dollars",6861263,13%
40,Newjofix,Financial Services,2010,90,CA,West Hollywood,"$12,339,863","1,415,312 Dollars",10924551,19%
41,Ozer-Dox,Health,2013,35,GA,Duluth,"$9,621,471","6,759,243 Dollars",2862228,9%
42,Iscom,Health,2013,595,CT,West Hartford,"$8,027,658","7,221,158 Dollars",806500,8%
43,Istone,Software,2011,50,VA,Reston,"$4,424,720","461,975 Dollars",3962745,20%
44,Ganzgreen,Construction,2010,224,TN,Franklin,,,,9%
45,Zamhouse,Construction,2009,39,ME,Lisbon Falls,"$7,543,695","6,561,021 Dollars",982674,12%
46,Openjocon,Construction,2013,75,IL,Midlothian,"$11,374,343","4,273,207 Dollars",7101136,13%
47,Trisity,Health,2012,26,CA,San Diego,"$6,918,290","6,344,372 Dollars",573918,0%
48,Planetice,Health,2012,42,MD,Silver Spring,"$10,757,724","6,782,077 Dollars",3975647,4%
49,Villadox,Construction,2012,20,CA,Carlsbad,"$8,651,649","1,097,353 Dollars",7554296,11%
50,Alphacane,Retail,2013,3,MO,O'Fallon,"$7,903,763","5,873,666 Dollars",2030097,14%
51,Rankcone,Government Services,2011,36,VA,Virginia Beach,"$6,036,944","4,837,188 Dollars",1199756,6%
52,Iceice,Government Services,2010,21,WV,Star City,"$6,352,466","1,455,581 Dollars",4896885,6%
53,Fixquadtech,Health,2012,85,PA,Philadelphia,"$8,299,901","6,968,474 Dollars",1331427,8%
54,Zonhigh,IT Services,2010,96,IL,Chicago,"$12,723,684","4,498,099 Dollars",8225585,21%
55,Toughway,Financial Services,2010,219,FL,St. Petersburg,"$13,442,136","3,291,056 Dollars",10151080,19%
56,Bluetexon,IT Services,2010,117,TX,Plano,"$12,685,910","8,350,913 Dollars",4334997,18%
57,Nimvivafind,Financial Services,2009,34,NJ,Newark,"$11,605,855","2,632,247 Dollars",8973608,19%
58,Eremenko,Financial Services,2012,60,FL,Maitland,"$11,445,633","3,162,905 Dollars",8282728,15%
59,Hot-Electrics,IT Services,2006,46,GA,Augusta,"$17,214,068","1,412,142 Dollars",15801926,16%
60,Namdom,Software,2013,105,IL,Chicago,"$8,362,411","2,544,307 Dollars",5818104,19%
61,Tempbam,Software,2013,134,WA,Seattle,"$8,980,591","6,089,130 Dollars",2891461,25%
62,Goodhouse,IT Services,2009,63,VA,Herndon,"$14,833,220","5,667,425 Dollars",9165795,24%
63,Sumzoomit,Construction,2010,32,MO,Lee's Summit,"$18,429,577","7,703,652 Dollars",10725925,19%
64,Goodtex,Government Services,2011,150,VA,Tysons Corner,"$13,118,996","9,860,686 Dollars",3258310,-3%
65,Ranquote,Health,2013,400,GA,Alpharetta,"$7,147,363","4,206,340 Dollars",2941023,6%
66,Zathtone,Software,2009,121,NY,New York,"$8,953,759","4,069,681 Dollars",4884078,21%
67,Vivacode,Construction,2009,28,LA,Lake Charles,"$9,410,642","4,117,102 Dollars",5293540,5%
68,Dongcom,Retail,2002,8,NY,Cheektowaga,"$14,477,085","2,772,159 Dollars",11704926,10%
69,Hexhouse,Software,2006,668,MA,Cambridge,"$10,221,740","1,885,810 Dollars",8335930,14%
70,Jobzencane,Software,2011,40,PA,WAYNE,"$7,482,411","2,379,903 Dollars",5102508,21%
71,Sailtech,Software,2012,850,CA,Santa Clara,"$4,543,509","4,474,647 Dollars",68862,21%
72,Vilacan,Retail,1999,28,UT,Orem,"$12,916,975","5,973,654 Dollars",6943321,12%
73,Stattechno,Health,2014,80,WA,Seattle,"$6,619,705","4,082,936 Dollars",2536769,10%
74,Conin,Construction,2009,23,CA,Rancho Dominguez,"$9,903,489","6,042,545 Dollars",3860944,8%
75,Rezumfind,IT Services,2000,50,VA,Herndon,"$14,024,010","3,101,952 Dollars",10922058,23%
76,Xx--Fase,IT Services,2012,430,TN,Nashville,"$14,048,981","3,944,877 Dollars",10104104,25%
77,Stiming,IT Services,2014,24,NY,Williamsville,"$9,779,076","594,698 Dollars",9184378,22%
78,E-Can,Financial Services,2013,1628,NJ,Mount Laurel,"$8,218,086","2,958,881 Dollars",5259205,16%
79,Tonjob,Financial Services,2010,87,CA,Santa Barbara,"$8,475,261","2,364,775 Dollars",6110486,16%
80,Flextone,Financial Services,2010,250,FL,Boca Raton,"$10,335,149","2,494,384 Dollars",7840765,19%
81,Lineity,Government Services,2006,113,MA,Billerica,"$8,621,837","2,359,224 Dollars",6262613,4%
82,Voyadexon,Health,2010,545,TX,Dallas,"$8,913,061","8,763,554 Dollars",149507,8%
83,Xn-Media,Health,2012,104,NJ,Lyndhurst,"$7,863,279","5,975,968 Dollars",1887311,5%
84,Drilldrill,Software,2010,30,,San Francisco,"$7,800,620","2,785,799 Dollars",5014821,17%
85,Tristone,Construction,2013,43,MD,Millersville,"$11,755,980","3,476,281 Dollars",8279699,8%
86,Treeelectrics,Government Services,2013,485,VA,Clarksville,"$12,208,678","5,536,775 Dollars",6671903,-2%
87,Tontam,Construction,2007,26,VA,Ashburn,"$7,635,932","7,119,416 Dollars",516516,8%
88,Ganjatam,IT Services,2009,70,NJ,Iselin,"$16,195,183","5,170,147 Dollars",11025036,18%
89,Sumice,Retail,2013,318,UT,Sandy,"$8,697,300","5,654,472 Dollars",3042828,19%
90,Vivadom,Software,2010,72,CA,Santa Barbara,"$5,190,812","3,656,514 Dollars",1534298,17%
91,Hatvollex,IT Services,2002,75,TX,FRISCO,"$12,410,581","5,898,202 Dollars",6512379,21%
92,Rankfind,Government Services,2013,101,VA,Fairfax,"$11,210,769","2,837,223 Dollars",8373546,7%
93,Fixcan,Retail,2009,3,GA,Atlanta,"$14,184,061","4,600,156 Dollars",9583905,15%
94,Technodexon,Software,2006,327,UT,Provo,"$11,554,383","3,538,667 Dollars",8015716,17%
95,Tamtex,Government Services,2009,98,VA,Fredericksburg,"$11,205,036","3,840,144 Dollars",7364892,10%
96,Itquadlab,Government Services,2012,120,VA,Arlington,"$8,198,522","7,950,351 Dollars",248171,2%
97,Kaysolodex,IT Services,2012,2670,MI,Madison Heights,"$13,310,294","5,879,731 Dollars",7430563,23%
98,Kinlax,Financial Services,2002,100,AZ,Tucson,"$11,380,872","6,212,849 Dollars",5168023,18%
99,Inchkix,Health,2011,29,MA,Northampton,"$8,724,297","7,427,040 Dollars",1297257,7%
100,Labam,Construction,2010,150,FL,Winter Garden,"$8,124,116","5,173,904 Dollars",2950212,12%
101,Black-Tax,Construction,2012,22,MD,Columbia,"$5,166,324","3,772,942 Dollars",1393382,6%
102,Med-City,Retail,2009,16,IL,Cicero,"$12,488,577","5,637,042 Dollars",6851535,13%
103,Sunviaway,Health,2014,486,NC,Morrisville,"$1,614,585","1,323,005 Dollars",291580,6%
104,Vaiatrax,Financial Services,2010,24,PA,Philadelphia,"$12,650,059","444,962 Dollars",12205097,21%
105,Ganzhex,Retail,2011,18,NY,Hopewell Junction,"$7,307,243","2,439,137 Dollars",4868106,11%
106,Dongstreet,Health,2006,236,IN,Princeton,"$7,042,297","6,903,334 Dollars",138963,4%
107,Basetrax,Construction,2011,28,NY,Buffalo,"$9,391,015","1,040,662 Dollars",8350353,10%
108,Linetouch,Financial Services,2012,937,PA,Plymouth Meeting,"$12,514,846","777,731 Dollars",11737115,13%
109,Zenware,Health,2012,37,CO,Centennial,"$9,590,886","3,692,982 Dollars",5897904,4%
110,Tamqvocone,Health,2013,979,TX,PEARLAND,"$9,045,108","7,727,397 Dollars",1317711,5%
111,Vivaity,Construction,2009,23,WA,Lakewood,"$7,529,148","3,147,929 Dollars",4381219,15%
112,O-Touch,Health,2005,393,TX,Frisco,"$9,521,727","5,669,858 Dollars",3851869,4%
113,Flexlane,IT Services,2004,120,MI,Novi,"$12,733,374","4,666,917 Dollars",8066457,23%
114,Zotcare,IT Services,2005,75,GA,Atlanta,"$15,249,518","1,261,501 Dollars",13988017,21%
115,Roundla,IT Services,2012,1500,MD,Bethesda,"$20,252,673","628,139 Dollars",19624534,20%
116,Requote,Government Services,2014,61,MD,Bethesda,"$5,994,715","5,947,864 Dollars",46851,10%
117,Freshholdings,Government Services,2010,65,FL,Orlando,"$10,492,864","1,392,917 Dollars",9099947,9%
118,Icezunzim,Software,2012,14,VA,Richmond,"$5,150,397","4,274,358 Dollars",876039,20%
119,Hottam,Software,2011,25,IN,Indianapolis,"$9,422,075","1,875,020 Dollars",7547055,20%
120,Lattechi,Retail,2012,30,IL,Hickory Hills,"$12,285,548","1,453,319 Dollars",10832229,11%
121,It-Ity,Health,2010,31,CA,Fresno,"$8,407,359","3,802,970 Dollars",4604389,8%
122,Islotfind,IT Services,2013,30,DC,Washington,"$11,498,255","1,639,880 Dollars",9858375,24%
123,Yearla,Software,2004,31,RI,Providence,"$9,838,442","5,327,158 Dollars",4511284,13%
124,Dancane,Software,2010,42,CT,New Haven,"$7,556,024","3,513,209 Dollars",4042815,20%
125,Citytrax,Financial Services,2010,21,UT,Sandy,"$10,891,038","989,656 Dollars",9901382,16%
126,Sail-Lam,Government Services,2013,120,MD,Rockville,"$8,540,290","6,523,001 Dollars",2017289,5%
127,Zotjoit,IT Services,2012,50,MN,Bloomington,"$13,878,988","5,541,102 Dollars",8337886,22%
128,Lanelex,Retail,2011,11,KS,Wichita,"$11,106,110","3,351,685 Dollars",7754425,10%
129,Hayfan,Health,2012,97,CA,San Diego,"$9,678,127","6,001,114 Dollars",3677013,4%
130,Lacorporation,Software,2011,73,CA,San Diego,"$5,152,561","4,897,146 Dollars",255415,19%
131,Ganjafan,Government Services,2010,215,NE,Omaha,"$8,732,985","6,294,265 Dollars",2438720,4%
132,Nimlux,Financial Services,2013,285,NY,New York,"$7,753,213","1,117,206 Dollars",6636007,18%
133,Gogofan,Construction,2011,75,FL,Winter Garden,"$7,826,433","5,608,635 Dollars",2217798,9%
134,Sub-Fan,Software,2014,24,MA,Boston,"$6,178,217","4,916,737 Dollars",1261480,17%
135,Mediagreen,Health,2013,80,TX,Dallas,"$7,480,998","2,758,416 Dollars",4722582,8%
136,Xx-Com,Retail,2013,308,TX,Lubbock,"$15,533,083","2,163,836 Dollars",13369247,12%
137,Toughcare,Retail,2009,45,CA,Burbank,"$12,429,629","5,796,075 Dollars",6633554,14%
138,Mathstrip,Government Services,2011,48,VA,Reston,"$10,236,594","5,788,684 Dollars",4447910,5%
139,Vilait,Software,2011,240,DE,Wilmington,"$4,691,853","3,250,700 Dollars",1441153,14%
140,Konkin,Health,2000,32,TX,Austin,"$8,397,677","2,753,444 Dollars",5644233,4%
141,Unoline,IT Services,2011,140,MN,Minneapolis,"$16,086,524","5,624,600 Dollars",10461924,16%
142,Truesaokix,Health,2010,160,CA,San Clemente,"$12,507,074","5,705,847 Dollars",6801227,7%
143,Lamlax,IT Services,2010,30,PA,Horsham,"$15,016,295","3,263,194 Dollars",11753101,17%
144,Saotaxon,Software,2000,76,IL,Chicago,"$7,440,576","5,383,015 Dollars",2057561,19%
145,Sanzatrax,Construction,2012,49,CA,San Diego,"$6,219,995","4,489,463 Dollars",1730532,16%
146,Geoelectronics,Software,2010,75,CA,San Diego,"$9,684,183","7,693,563 Dollars",1990620,18%
147,Konktouch,Software,2012,489,KS,Overland Park,"$4,720,259","4,434,901 Dollars",285358,17%
148,Trans-Dexon,Financial Services,2003,77,MA,Boston,"$11,447,285","1,498,325 Dollars",9948960,16%
149,Zimholding,IT Services,2002,7,OR,Portland,"$13,905,706","405,045 Dollars",13500661,21%
150,Scot-Lex,IT Services,2013,34,MA,Chelmsford,"$12,975,996","4,097,491 Dollars",8878505,24%
151,Lexitrans,Health,2012,335,WA,Seattle,"$9,152,251","8,653,818 Dollars",498433,6%
152,Phystouch,IT Services,2011,12,NC,Waxhaw,"$14,530,025","847,470 Dollars",13682555,20%
153,K-Job,IT Services,2013,150,VA,Reston,"$12,008,969","3,517,340 Dollars",8491629,18%
154,Vilamedia,Software,2011,126,VA,Blacksburg,"$7,605,926","3,454,719 Dollars",4151207,24%
155,Bignamjob,Health,2013,131,IL,Elk Grove Village,"$8,326,486","7,705,075 Dollars",621411,7%
156,Kayplus,Government Services,2010,154,FL,Clearwater,"$10,855,879","5,611,400 Dollars",5244479,2%
157,Hottom,Software,2011,40,MD,Baltimore,"$9,381,784","2,093,538 Dollars",7288246,19%
158,Voltech,Software,2009,23,NJ,Hamilton,"$10,211,911","5,213,751 Dollars",4998160,13%
159,Lamdombase,Construction,2012,7,TX,Houston,"$11,428,457","5,595,183 Dollars",5833274,12%
160,Zathtechi,Software,2003,87,CA,San Jose,"$6,187,775","2,286,092 Dollars",3901683,23%
161,Sunsaolax,Health,2013,15,WA,Redmond,"$7,151,103","5,835,473 Dollars",1315630,7%
162,Zamfax,Government Services,2012,130,FL,Fort Walton Beach,"$9,886,455","1,320,669 Dollars",8565786,3%
163,Zer-Plus,Software,2008,27,MA,Franklin,"$5,848,690","5,240,164 Dollars",608526,26%
164,Hexzoomity,Health,2013,11,TX,Austin,"$10,319,636","5,863,890 Dollars",4455746,12%
165,Vilahouse,Software,2011,12,CA,San Diego,"$7,662,253","7,543,897 Dollars",118356,23%
166,Lamcare,Construction,1999,108,NY,Staten Island,"$7,547,716","5,232,913 Dollars",2314803,14%
167,Keytouch,Construction,2013,35,CA,Vista,"$8,597,264","5,649,633 Dollars",2947631,9%
168,Kincon,Software,2009,130,MI,Ann Arbor,"$12,239,282","2,973,757 Dollars",9265525,17%
169,Tancode,IT Services,2014,7,NY,Farmingdale,"$15,506,061","5,204,074 Dollars",10301987,26%
170,Dripcane,IT Services,2010,56,VA,Reston,"$17,431,007","2,153,035 Dollars",15277972,20%
171,Zimtechno,Software,2006,326,MN,Minneapolis,"$13,268,611","6,773,400 Dollars",6495211,24%
172,Fax-Street,Software,2011,54,CA,Aliso Viejo,"$4,436,616","4,175,332 Dollars",261284,15%
173,Scotstrip,Software,2013,77,IL,Chicago,"$9,120,892","125,635 Dollars",8995257,20%
174,Bigfan,Software,2005,96,WI,La Crosse,"$9,386,159","3,093,397 Dollars",6292762,21%
175,Kayis,IT Services,2002,26,CA,Newport Beach,"$14,264,750","1,232,980 Dollars",13031770,23%
176,Drilllane,IT Services,2011,185,VA,Ashburn,"$15,240,158","1,367,678 Dollars",13872480,16%
177,Randrill,Health,2010,84,GA,Smyrna,"$8,239,229","7,802,235 Dollars",436994,6%
178,Techhigh,IT Services,2011,28,OH,West Chester,"$14,681,671","5,999,660 Dollars",8682011,23%
179,Saltstreet,IT Services,2012,80,CA,Newark,"$14,219,294","6,235,328 Dollars",7983966,22%
180,Greenfan,Government Services,2013,35,TX,San Antonio,"$10,228,294","6,751,232 Dollars",3477062,9%
181,Joblab,Government Services,2012,250,VA,Herndon,"$10,216,792","3,436,060 Dollars",6780732,10%
182,Zenzootrax,Financial Services,2010,289,IL,Chicago,"$9,837,545","2,466,042 Dollars",7371503,17%
183,Ittech,IT Services,2013,45,MN,Minneapolis,"$11,133,739","6,544,488 Dollars",4589251,20%
184,Volzoom,Retail,2006,27,ME,Kittery,"$12,218,547","5,081,916 Dollars",7136631,10%
185,Saofintone,Financial Services,2009,78,CA,San Diego,"$11,559,177","841,579 Dollars",10717598,17%
186,Indigoit,Retail,2011,15,MI,Jackson,"$13,942,061","5,349,385 Dollars",8592676,14%
187,K-Tone,Software,2013,26,SC,North Charleston,"$8,593,898","4,884,584 Dollars",3709314,18%
188,Triotexon,Software,2011,96,FL,Tampa,"$9,339,798","1,298,258 Dollars",8041540,18%
189,Rehoting,IT Services,2014,30,NC,Chapel Hill,"$13,090,625","5,455,657 Dollars",7634968,20%
190,Kanlux,Software,2000,77,VA,Chesapeake,"$9,868,249","4,854,787 Dollars",5013462,21%
191,Silit,Construction,2007,26,VA,Chesapeake,"$10,692,411","7,777,972 Dollars",2914439,8%
192,Fixlatcare,IT Services,2014,40,TX,Dallas,"$14,349,818","634,360 Dollars",13715458,23%
193,Zummalux,Government Services,2011,13,MD,Woodbine,"$10,729,022","4,113,479 Dollars",6615543,5%
194,Medbase,Software,2013,17,GA,Roswell,"$8,695,169","4,473,383 Dollars",4221786,20%
195,Xx-Bam,Software,2009,140,FL,Orlando,"$14,229,411","2,327,339 Dollars",11902072,20%
196,Jayphase,Software,2014,62,CA,San Diego,"$5,892,054","4,938,867 Dollars",953187,16%
197,J-Unafase,Software,2014,24,TX,Montgomery,"$1,835,717","71,219 Dollars",1764498,19%
198,Singlefind,Construction,2014,25,OK,Oklahoma City,"$11,725,679","4,944,684 Dollars",6780995,5%
199,Icephase,IT Services,2010,29,VA,Glen Allen,"$13,098,201","6,105,205 Dollars",6992996,20%
200,Lalane,Retail,2003,45,MN,Golden Valley,"$12,461,526","4,934,351 Dollars",7527175,14%
201,Linetax,IT Services,2013,171,IL,Westchester,"$15,091,431","2,907,698 Dollars",12183733,28%
202,Hotlax,IT Services,2010,185,NJ,Warren,"$11,473,628","2,599,091 Dollars",8874537,24%
203,E-Tex,IT Services,2003,85,OH,Columbus,"$16,295,163","3,974,721 Dollars",12320442,21%
204,Hexdom,IT Services,2012,10,CA,Encino,"$10,724,413","4,126,154 Dollars",6598259,21%
205,Acclaimedcirl,Health,2014,102,CA,Pasadena,"$4,484,095","4,177,191 Dollars",306904,11%
206,Frayedintrigue,IT Services,2014,211,TX,Addison,"$12,846,678","1,435,103 Dollars",11411575,19%
207,Nakedshrapnel,IT Services,2014,15,FL,Orlando,"$16,916,828","3,879,436 Dollars",13037392,20%
208,Countslovenly,Construction,2010,45,FL,Spring Hill,"$8,380,367","8,213,905 Dollars",166462,10%
209,Judgemicrosoft,IT Services,2012,70,TX,Houston,"$16,093,094","3,724,605 Dollars",12368489,18%
210,Reinforceputtock,Health,2002,88,NJ,Moorestown,"$5,890,468","4,263,512 Dollars",1626956,6%
211,Pursuitsskewer,IT Services,2001,16,VA,Ashburn,"$13,731,776","887,658 Dollars",12844118,23%
212,Geigerbeneficial,Financial Services,2013,33,TX,Dallas,"$12,470,309","1,499,830 Dollars",10970479,17%
213,Relishtreasure,Government Services,2010,25,VA,Sterling,"$9,959,049","1,432,738 Dollars",8526311,4%
214,Forearmblade,IT Services,2010,24,MD,Annapolis,"$15,768,818","3,279,306 Dollars",12489512,29%
215,Nervousdispatcher,Financial Services,2011,80,NY,New York,"$6,955,439","409,237 Dollars",6546202,16%
216,Deliciousgeometry,IT Services,2010,30,CA,Walnut,"$16,864,251","2,661,258 Dollars",14202993,18%
217,Dowdyweanling,Health,2014,32,TX,Plano,"$10,893,126","4,374,602 Dollars",6518524,8%
218,Abstractedchocolat,IT Services,2009,2,VA,Stafford,"$12,079,562","4,960,266 Dollars",7119296,24%
219,Wiggakintail,IT Services,2010,55,NY,Scarsdale,"$13,713,642","3,796,676 Dollars",9916966,18%
220,Machinewarn,IT Services,2009,128,NC,Greensboro,"$16,548,371","6,091,555 Dollars",10456816,21%
221,Coatforked,Government Services,2012,59,CA,Coronado,"$10,626,672","1,243,956 Dollars",9382716,6%
222,Loveboyle,IT Services,2012,19,MA,Framingham,"$14,552,889","3,814,137 Dollars",10738752,19%
223,Admonishbadelynge,Government Services,2010,73,AL,Huntsville,"$9,528,495","4,117,953 Dollars",5410542,3%
224,Siftercockamamie,Retail,2014,19,AZ,Scottsdale,"$14,691,389","2,498,398 Dollars",12192991,11%
225,Chirpskipping,Health,2013,1107,NE,Omaha,"$10,643,314","5,666,733 Dollars",4976581,10%
226,Discreetcorrosive,Government Services,2011,197,VA,Sterling,"$7,307,498","5,648,408 Dollars",1659090,11%
227,Handlersthroated,Retail,2011,167,MA,Boston,"$13,592,541","3,987,941 Dollars",9604600,12%
228,Boundextrasmall,Health,2010,110,PA,Willow Grove,"$8,838,341","6,521,158 Dollars",2317183,4%
229,Efferentfinished,Health,2014,30,MD,Rockville,"$5,449,870","2,140,030 Dollars",3309840,8%
230,Trogleguarantee,IT Services,2008,53,GA,Canton,"$12,882,726","3,769,434 Dollars",9113292,21%
231,Chloridesfixation,Financial Services,2009,14,OH,Independence,"$12,924,846","2,016,500 Dollars",10908346,16%
232,Raisinscotta,IT Services,2003,48,SC,Irmo,"$15,393,471","6,652,796 Dollars",8740675,22%
233,Sandhillrisk,IT Services,2009,51,VA,Sterling,"$12,664,063","2,447,209 Dollars",10216854,19%
234,Vertextractor,IT Services,2012,41,MD,Hanover,"$11,092,909","8,516,661 Dollars",2576248,26%
235,Parkourwoodchat,IT Services,2013,110,OH,Cincinnati,"$12,853,705","6,339,352 Dollars",6514353,23%
236,Ritelepus,Software,2013,818,CA,San Luis Obispo,"$5,662,326","4,932,726 Dollars",729600,19%
237,Coiledsheriff,Software,2009,67,MA,Boston,"$2,367,964","639,513 Dollars",1728451,19%
238,Stylishhypothesis,IT Services,2011,73,WA,Bellevue,"$15,705,546","3,170,938 Dollars",12534608,17%
239,Glaciertolerant,Retail,2013,1,GA,Atlanta,"$10,174,843","4,696,022 Dollars",5478821,8%
240,Squeezebasement,Health,2010,1442,TX,Fort Worth,"$6,681,594","3,852,682 Dollars",2828912,7%
241,Sounderfibber,IT Services,2011,372,MN,Minnetonka,"$14,727,740","6,403,759 Dollars",8323981,21%
242,Lowdirect,Government Services,2011,56,MD,Annapolis,"$7,112,290","4,691,188 Dollars",2421102,2%
243,Improvelonely,Software,2010,150,DC,Washington,"$4,977,212","462,545 Dollars",4514667,19%
244,Crashingsubmitted,Government Services,2009,52,VA,Falls Church,"$8,978,177","3,824,137 Dollars",5154040,5%
245,Peskyevaluate,IT Services,2010,45,VA,Richmond,"$13,011,611","4,284,410 Dollars",8727201,23%
246,Circinuscategory,IT Services,2013,32,NJ,Cranbury,"$14,920,255","5,274,251 Dollars",9646004,28%
247,Chestnutanorexia,Government Services,2013,30,VA,Stafford,"$8,333,540","6,025,148 Dollars",2308392,5%
248,Waterka,Government Services,2005,115,MD,Columbia,"$6,140,424","6,017,012 Dollars",123412,4%
249,Muttletpocket,IT Services,2012,36,UT,South Jordan,"$15,416,309","7,560,119 Dollars",7856190,17%
250,Pluggedword,Retail,2009,9,FL,Pembroke Pines,"$12,380,676","3,107,320 Dollars",9273356,12%
251,Clocksgarrulous,Government Services,2014,29,VA,Falls Church,"$10,278,001","4,618,266 Dollars",5659735,4%
252,Estermourn,Construction,2010,20,ID,Worley,"$7,740,138","5,303,734 Dollars",2436404,12%
253,Splashnuts,Construction,2012,272,FL,Apopka,"$11,004,547","3,182,829 Dollars",7821718,8%
254,Aldabaranbox,Software,2010,15,IN,Anderson,"$6,354,077","5,230,774 Dollars",1123303,26%
255,Elderlyhair,IT Services,2013,21,FL,Jacksonville,"$13,522,265","6,555,897 Dollars",6966368,20%
